,A,B,C,D,E,F,G,H,I,J
0,23.045008333787887,60.88433092049817,89.61426238031845,76.98885007035624,76.3744022066714,85.2059073455426,73.34413117644154,20.694360695194447,90.17900034569418,88.05873802536117
1,3.9354436349188227,7.045181947881407,5.428970646757881,85.09482441102166,16.20198269241675,84.28749437412893,91.52421391180788,2.630392079615995,8.067130205306384,92.65085543581787
2,81.79649302193583,24.2452171996128,70.02278036380606,50.909379684543545,18.16880707263948,69.34403912490474,79.05399163593631,42.84209520299409,64.72989349998683,22.231935821345793
3,11.33781064774243,18.882122774982648,20.445990340414678,13.19349020734385,72.3678457538854,71.8140956007133,79.2915897043934,84.0120803031575,64.50208672587921,69.93496816846488
4,82.77643872783331,28.08247574893492,15.68250689332018,41.642156875652056,18.233637001219293,62.2575713491929,76.02477427115589,92.81339117925916,81.83931485021577,81.15180441344518
5,76.04670978829175,73.73935820003982,85.71408649518962,79.54879942492681,77.41910867237135,90.2518600197058,79.48796068109948,27.89873213813664,47.8629805074913,25.64677541493857
6,69.01822306266787,24.17904358577908,46.34731557187425,52.255195742139335,30.820470791066555,34.71308626949854,30.15947984146763,61.59559730881286,68.00798424170563,97.86707567467194
7,78.33916997651585,38.861488310261926,44.51843906311485,10.236209406766028,88.23521697634725,98.19875623313095,53.20618182939961,22.33956878288882,90.32558738468214,9.275790858949184
8,34.23105999495783,22.937055229353685,61.9962627649837,4.484745146438818,85.52916244881494,18.786330798336603,27.897052651211716,31.927467393185815,36.94632516519627,94.87305160854956
9,42.86814207377843,92.58816720828989,76.30013604092689,85.97174195402182,27.31489428606031,22.263476054110598,49.62337907743775,35.479058188203915,35.10857527109156,60.34928127295529
10,88.17525878136709,8.563860389477696,23.770535307557882,54.38049140044833,95.96732345816561,85.21921067869572,80.83450890349697,9.66777351360224,48.91686239768174,65.07919269695948
11,24.151103247522432,28.041164450912206,24.437152755813653,9.985906476699613,20.50101685685225,78.40046978107821,89.27653721801575,0.6556712284631061,36.118731625261205,13.27679138748442
12,70.86912630503481,23.079036772757043,74.35705595886387,97.50361376045666,99.61333389036956,77.8359964347549,48.991074638582724,48.47801996238413,29.790610176595656,80.15207607599343
13,1.9298642053422466,53.51598479945574,74.78436252139964,4.629789844205023,91.07738003124327,42.946213028226545,5.456452051061356,86.99221742161264,78.02639961915673,53.61446322116551
14,69.959457531358,69.88182195374405,64.74752949434198,82.26895510759007,50.15270764549381,76.45685249013383,74.73539667250506,97.39395800284608,20.860971591191422,76.9137682495717
15,6.732257836088595,21.189235406796524,5.071384416697078,92.99367437722339,84.59677899070289,36.3486580663326,78.57640206662964,39.58231292637099,4.3365707999507785,97.1053452294248
16,5.86213985763634,11.881716049296752,43.97036203239962,85.78210925364841,48.388352361708506,51.10501782462532,55.86624733416641,77.76987701502168,16.305527205535565,91.83724483407433
17,20.756000927651698,23.992140727925026,56.063331104497614,1.1418467986460068,3.29880659575037,55.162174471262574,28.858575353209837,22.878106923542607,41.10409336693562,7.689000572091375
18,21.194042213098253,61.227249085930744,48.38502249458762,75.19589751029821,0.5977190308286251,43.057227770909755,91.9798473947763,99.11840098835701,27.167976105118008,44.05139278441216
19,85.4003505099022,88.42746969774252,51.92672687188532,3.700287625311527,55.29263632802399,93.06461635344758,99.01171549204979,90.04885365197633,60.84095475893646,80.79601112016842
20,97.02076077956556,32.61371884959576,24.183400739786375,34.12996098354753,39.14475976200875,45.65860680566502,75.00144738135816,94.66055428157529,78.42443429117787,66.76600603615826
21,47.962034715305336,62.199667581736875,23.534007575414872,12.957622550608082,55.256242567605355,58.5000111322354,79.95424326197336,0.6257977603389864,9.133494041687761,62.16017703962676
22,26.749553927170155,69.56896224398575,93.66246283887867,37.30032639078226,3.240134499170222,94.82518253075452,6.63535270343597,40.54716180049694,93.21877897587376,49.1003546338317
23,26.7524574961277,47.81981146562513,85.85051358300842,61.982045560972956,94.74719556446868,1.7137397949843702,52.72247642553953,20.355779214983116,19.726567308505572,22.544238150052365
24,62.21488623788552,98.63857716738885,96.08275954587029,14.883902884940403,95.90114894017358,38.81779441386569,59.70527382539868,11.050594185911411,54.633181169011436,2.088374406773774
25,5.333970824369738,79.05502653754466,53.56858384951892,41.500203962509566,28.927064862041885,58.29460382190875,8.980586538263502,20.612541380914507,76.85575356471817,32.632137132589875
26,83.62892935425425,75.16277601000148,12.484501747017918,2.754430020372034,42.86039281861156,54.262613231073466,46.740188740336265,63.66430547651773,9.892586958146154,85.7550028827199
27,47.90405081108592,6.8242863283742405,68.64388396186382,71.96794731204132,16.37283198339987,13.30292979031693,23.039026639091208,8.356134600449094,49.929811885247396,89.89669341481526
28,75.26384072566375,45.06687023928259,91.79847539409185,17.467376372539334,53.1836205661433,52.81758871531936,2.6123959720610546,52.26711771317593,1.0715898022107928,98.01362233167693
29,85.64008335899958,94.82120943275997,53.70242110586664,12.689173840116519,54.92100238053974,34.51441986631792,89.98126925044055,13.375759513569518,34.21866616717294,5.243540525972534
30,66.07867590874507,8.422081853617646,68.30606441151222,28.472899561952936,42.54886095848834,29.892200380921707,3.530366443572419,46.30126318176075,69.05612106032115,8.654455699670283
